,Actual,Atributo,Cluster,Erro,Predicted,Saida
0,0.22,sepal_length,1,0.02,0.2,5.1
1,0.17,sepal_length,1,0.05,0.12,4.9
2,0.11,sepal_length,1,0.02,0.13,4.7
3,0.08,sepal_length,1,0.07,0.16,4.6
4,0.19,sepal_length,1,0.03,0.22,5.0
5,0.31,sepal_length,1,0.01,0.29,5.4
6,0.08,sepal_length,1,0.08,0.16,4.6
7,0.19,sepal_length,1,0.01,0.21,5.0
8,0.03,sepal_length,1,0.07,0.1,4.4
9,0.17,sepal_length,1,0.01,0.18,4.9
10,0.31,sepal_length,1,0.05,0.26,5.4
11,0.14,sepal_length,1,0.09,0.23,4.8
12,0.14,sepal_length,1,0.0,0.14,4.8
13,0.0,sepal_length,1,0.07,0.07,4.3
14,0.42,sepal_length,1,0.17,0.24,5.8
15,0.39,sepal_length,1,0.05,0.33,5.7
16,0.31,sepal_length,1,0.1,0.21,5.4
17,0.22,sepal_length,1,0.04,0.18,5.1
18,0.39,sepal_length,1,0.09,0.3,5.7
19,0.22,sepal_length,1,0.03,0.25,5.1
20,0.31,sepal_length,1,0.05,0.25,5.4
21,0.22,sepal_length,1,0.01,0.22,5.1
22,0.08,sepal_length,1,0.05,0.13,4.6
23,0.22,sepal_length,1,0.05,0.17,5.1
24,0.14,sepal_length,1,0.16,0.3,4.8
25,0.19,sepal_length,1,0.03,0.16,5.0
26,0.19,sepal_length,1,0.01,0.19,5.0
27,0.25,sepal_length,1,0.02,0.23,5.2
28,0.25,sepal_length,1,0.06,0.19,5.2
29,0.11,sepal_length,1,0.09,0.2,4.7
30,0.14,sepal_length,1,0.04,0.18,4.8
31,0.31,sepal_length,1,0.14,0.16,5.4
32,0.25,sepal_length,1,0.1,0.35,5.2
33,0.33,sepal_length,1,0.01,0.32,5.5
34,0.17,sepal_length,1,0.01,0.18,4.9
35,0.19,sepal_length,1,0.09,0.11,5.0
36,0.33,sepal_length,1,0.15,0.18,5.5
37,0.17,sepal_length,1,0.01,0.18,4.9
38,0.03,sepal_length,1,0.07,0.1,4.4
39,0.22,sepal_length,1,0.01,0.21,5.1
40,0.19,sepal_length,1,0.03,0.16,5.0
41,0.06,sepal_length,1,0.1,-0.04,4.5
42,0.03,sepal_length,1,0.1,0.13,4.4
43,0.19,sepal_length,1,0.04,0.16,5.0
44,0.22,sepal_length,1,0.1,0.32,5.1
45,0.14,sepal_length,1,0.04,0.1,4.8
46,0.22,sepal_length,1,0.08,0.3,5.1
47,0.08,sepal_length,1,0.07,0.15,4.6
48,0.28,sepal_length,1,0.02,0.26,5.3
49,0.19,sepal_length,1,0.02,0.17,5.0
50,0.75,sepal_length,2,0.14,0.61,7.0
51,0.58,sepal_length,2,0.04,0.55,6.4
52,0.72,sepal_length,2,0.1,0.62,6.9
53,0.33,sepal_length,2,0.01,0.33,5.5
54,0.61,sepal_length,2,0.11,0.5,6.5
55,0.39,sepal_length,2,0.13,0.52,5.7
56,0.56,sepal_length,2,0.03,0.59,6.3
57,0.17,sepal_length,2,0.09,0.26,4.9
58,0.64,sepal_length,2,0.08,0.56,6.6
59,0.25,sepal_length,2,0.1,0.35,5.2
60,0.19,sepal_length,2,0.04,0.23,5.0
61,0.44,sepal_length,2,0.0,0.45,5.9
62,0.47,sepal_length,2,0.09,0.38,6.0
63,0.5,sepal_length,2,0.06,0.56,6.1
64,0.36,sepal_length,2,0.02,0.34,5.6
65,0.67,sepal_length,2,0.14,0.53,6.7
66,0.36,sepal_length,2,0.15,0.51,5.6
67,0.42,sepal_length,2,0.07,0.48,5.8
68,0.53,sepal_length,2,0.15,0.38,6.2
69,0.36,sepal_length,2,0.02,0.38,5.6
70,0.44,sepal_length,2,0.1,0.55,5.9
71,0.5,sepal_length,2,0.09,0.41,6.1
72,0.56,sepal_length,2,0.04,0.52,6.3
73,0.5,sepal_length,2,0.09,0.59,6.1
74,0.58,sepal_length,2,0.09,0.5,6.4
75,0.64,sepal_length,2,0.13,0.51,6.6
76,0.69,sepal_length,2,0.13,0.57,6.8
77,0.67,sepal_length,2,0.09,0.58,6.7
78,0.47,sepal_length,2,0.02,0.5,6.0
79,0.39,sepal_length,2,0.05,0.34,5.7
80,0.33,sepal_length,2,0.01,0.35,5.5
81,0.33,sepal_length,2,0.01,0.35,5.5
82,0.42,sepal_length,2,0.02,0.4,5.8
83,0.47,sepal_length,2,0.1,0.57,6.0
84,0.31,sepal_length,2,0.21,0.51,5.4
85,0.47,sepal_length,2,0.09,0.56,6.0
86,0.67,sepal_length,2,0.09,0.57,6.7
87,0.56,sepal_length,2,0.14,0.42,6.3
88,0.36,sepal_length,2,0.11,0.47,5.6
89,0.33,sepal_length,2,0.03,0.36,5.5
90,0.33,sepal_length,2,0.16,0.49,5.5
91,0.5,sepal_length,2,0.06,0.56,6.1
92,0.42,sepal_length,2,0.02,0.4,5.8
93,0.19,sepal_length,2,0.05,0.24,5.0
94,0.36,sepal_length,2,0.08,0.44,5.6
95,0.39,sepal_length,2,0.12,0.51,5.7
96,0.39,sepal_length,2,0.09,0.47,5.7
97,0.53,sepal_length,2,0.03,0.5,6.2
98,0.22,sepal_length,2,0.04,0.19,5.1
